County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Cook,5/4/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,5270
Cottonwood,5/4/2020,37,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,11437
Crow Wing,5/4/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest,63505
Dakota,5/4/2020,215,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,414655
Dodge,5/4/2020,21,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast,20485
Douglas,5/4/2020,7,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest,36891
Faribault,5/4/2020,7,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest,13966
Fillmore,5/4/2020,13,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,20825
Freeborn,5/4/2020,36,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,30619
Goodhue,5/4/2020,23,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,46138
Grant,5/4/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest,5923
Hennepin,5/4/2020,2298,284,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,1224763
Houston,5/4/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,18709
Hubbard,5/4/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest,20743
Isanti,5/4/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,38584
Itasca,5/4/2020,12,0,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,45237
Jackson,5/4/2020,24,0,063,B,Town/rural mix,EDR 8 - Southwest,Southwest,10104
Kanabec,5/4/2020,1,0,065,C,Urban/town/rural mix,EDR 7E- East Central,Central,15948
Kandiyohi,5/4/2020,188,1,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,42577
Kittson,5/4/2020,1,0,069,A,Entirely rural,EDR 1 - Northwest,Northwest,4384
Koochiching,5/4/2020,1,0,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,12776
Lac qui Parle,5/4/2020,2,0,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,6840
Lake,5/4/2020,NA,NA,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,10578
Lake of the Woods,5/4/2020,NA,NA,077,A,Entirely rural,EDR 2 - Headwaters,Northwest,3841
Le Sueur,5/4/2020,26,0,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,27810
Lincoln,5/4/2020,3,0,081,A,Entirely rural,EDR 8 - Southwest,Southwest,5724
Lyon,5/4/2020,9,0,083,B,Town/rural mix,EDR 8 - Southwest,Southwest,25789
Mahnomen,5/4/2020,2,0,087,A,Entirely rural,EDR 2 - Headwaters,Northwest,5500
Marshall,5/4/2020,7,0,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,9397
Martin,5/4/2020,108,4,091,B,Town/rural mix,EDR 9 - South Central,Southwest,20084
McLeod,5/4/2020,4,0,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central,35816
Meeker,5/4/2020,17,0,093,B,Town/rural mix,EDR 6E- Southwest Central,Central,23105
Mille Lacs,5/4/2020,3,1,095,C,Urban/town/rural mix,EDR 7E- East Central,Central,25635
Morrison,5/4/2020,6,0,097,B,Town/rural mix,EDR 5 - North Central,Northwest,32880
Mower,5/4/2020,32,0,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,39386
Murray,5/4/2020,17,0,101,A,Entirely rural,EDR 8 - Southwest,Southwest,8394
Nicollet,5/4/2020,16,2,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,33477
Nobles,5/4/2020,1011,1,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,21854
Norman,5/4/2020,9,0,107,A,Entirely rural,EDR 1 - Northwest,Northwest,6589
Olmsted,5/4/2020,305,8,109,D,Entirely urban,EDR 10 - Southeast,Southeast,151685
Otter Tail,5/4/2020,18,0,111,B,Town/rural mix,EDR 4 - West Central,Northwest,57790
Pennington,5/4/2020,1,0,113,B,Town/rural mix,EDR 1 - Northwest,Northwest,14197
Pine,5/4/2020,60,0,115,C,Urban/town/rural mix,EDR 7E- East Central,Central,29057
Pipestone,5/4/2020,4,0,117,B,Town/rural mix,EDR 8 - Southwest,Southwest,9229
Polk,5/4/2020,42,0,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,31564
Pope,5/4/2020,NA,NA,121,B,Town/rural mix,EDR 4 - West Central,Northwest,10932
Ramsey,5/4/2020,535,34,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,537893
Red Lake,5/4/2020,1,0,125,A,Entirely rural,EDR 1 - Northwest,Northwest,4017
Redwood,5/4/2020,3,0,127,B,Town/rural mix,EDR 8 - Southwest,Southwest,15430
Renville,5/4/2020,5,0,129,A,Entirely rural,EDR 6E- Southwest Central,Central,14798
Rice,5/4/2020,24,1,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,65251
Rock,5/4/2020,16,0,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest,9433
Roseau,5/4/2020,1,0,135,B,Town/rural mix,EDR 1 - Northwest,Northwest,15537
Scott,5/4/2020,63,1,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,141463
Sherburne,5/4/2020,61,0,141,D,Entirely urban,EDR 7W- Central,Central,92024
Sibley,5/4/2020,2,0,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,14888
St. Louis,5/4/2020,79,11,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,200294
Stearns,5/4/2020,728,2,145,C,Urban/town/rural mix,EDR 7W- Central,Central,155300
Steele,5/4/2020,24,0,147,B,Town/rural mix,EDR 10 - Southeast,Southeast,36612
Stevens,5/4/2020,NA,NA,149,B,Town/rural mix,EDR 4 - West Central,Northwest,9759
Swift,5/4/2020,2,0,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9448
Todd,5/4/2020,15,0,153,B,Town/rural mix,EDR 5 - North Central,Northwest,24423
Traverse,5/4/2020,2,0,155,A,Entirely rural,EDR 4 - West Central,Northwest,3357
Wabasha,5/4/2020,10,0,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,21490
Wadena,5/4/2020,2,0,159,B,Town/rural mix,EDR 5 - North Central,Northwest,13626
Waseca,5/4/2020,6,0,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest,18898
Washington,5/4/2020,152,12,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,250979
Watonwan,5/4/2020,15,0,165,B,Town/rural mix,EDR 9 - South Central,Southwest,10936
Wilkin,5/4/2020,11,3,167,B,Town/rural mix,EDR 4 - West Central,Northwest,6398
Winona,5/4/2020,67,15,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,50992
Wright,5/4/2020,54,1,171,C,Urban/town/rural mix,EDR 7W- Central,Central,131130
