County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Aitkin,5/5/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,5/5/2020,344,20,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,5/5/2020,15,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,5/5/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,5/5/2020,48,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,5/5/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,5/5/2020,51,0,013,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,5/5/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,5/5/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,5/5/2020,39,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,5/5/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,5/5/2020,3,0,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,5/5/2020,13,1,025,D,Entirely urban,EDR 7E- East Central,Central
Clay,5/5/2020,201,14,027,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,5/5/2020,2,0,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,5/5/2020,NA,NA,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,5/5/2020,41,0,033,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,5/5/2020,21,1,035,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,5/5/2020,241,11,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,5/5/2020,21,0,039,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,5/5/2020,10,0,041,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,5/5/2020,7,0,043,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,5/5/2020,12,1,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,5/5/2020,37,0,047,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,5/5/2020,23,0,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,5/5/2020,1,0,051,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,5/5/2020,2519,303,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,5/5/2020,1,0,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,5/5/2020,NA,NA,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,5/5/2020,6,0,059,C,Urban/town/rural mix,EDR 7E- East Central,Central
